FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,185033.936544,7,55615202.176,0.00392156862745098
1,185033.953184,2,55615217.1392,0.0199955172585546
2,185033.969824,1,55615232.9728,0.0312638010326908
3,185033.986496,2,55615249.5616,0.0199565008052332
4,185034.003168,1,55615266.368,0.0311824475768292
5,185034.01984,2,55615282.9184,0.0180770699473693
6,185034.036512,1,55615299.648,0.029126197473062
7,185034.053184,2,55615316.3008,0.0180446945924856
8,185034.069824,1,55615333.7216,0.0290191097607544
9,185034.086496,2,55615349.6704,0.018135179558699
10,185034.103168,1,55615366.2464,0.0289526987763776
11,185034.11984,2,55615382.9248,0.0182339658979595
12,185034.136512,1,55615399.6544,0.0289966960535273
13,185034.153184,2,55615416.3072,0.0182480782321396
14,185034.169824,1,55615432.9344,0.0289178330095798
15,185034.186496,2,55615449.6128,0.0182572097424914
16,185034.203168,1,55615466.3552,0.0287775398050838
17,185034.21984,2,55615482.8928,0.0181833275223722
18,185034.236512,1,55615499.584,0.0286912055253939
19,185034.253152,2,55615516.2496,0.0182140426026465
20,185034.269824,1,55615536.2176,0.0286156630306653
21,185034.286496,2,55615549.568,0.0181277083229566
22,185034.303168,1,55615566.3232,0.0284346930982384
23,185034.31984,2,55615583.1424,0.0182306453487407
24,185034.336512,1,55615599.6544,0.0285442712224602
25,185034.353152,2,55615616.2688,0.0182397768590925
26,185034.369824,1,55615633.0112,0.0283649615646428
27,185034.386496,2,55615649.5616,0.0181974398565523
28,185034.403168,1,55615666.2912,0.0282968903056566
29,185034.419808,2,55615682.8672,0.0182796234497186
30,185034.43648,1,55615699.4944,0.0283973369195265
31,185034.453152,2,55615716.352,0.0182538891932726
32,185034.469824,1,55615732.9536,0.0282454217927645
33,185034.486496,2,55615749.6064,0.0182032508176852
34,185034.503168,1,55615766.3872,0.0282188573990138
35,185034.519808,2,55615783.0272,0.0182846042735468
36,185034.53648,1,55615799.7312,0.0282088957513573
37,185034.553152,2,55615816.3456,0.0183203001776494
38,185034.569824,1,55615833.0624,0.0282943998937424
39,185034.586496,2,55615849.6,0.0183559960817519
40,185034.603136,1,55615866.2656,0.0282371204197174
41,185034.619808,2,55615883.072,0.0182638508409291
42,185034.63648,1,55615899.5968,0.0282213478109279
43,185034.653152,2,55615916.4416,0.0183452042967907
44,185034.669824,1,55615933.0304,0.0282246683601468
45,185034.686496,2,55615949.76,0.0184190865169099
46,185034.703136,1,55615966.3232,0.0281491258654181
47,185034.719808,2,55615983.0912,0.0183833906128074
48,185034.73648,1,55615999.6672,0.0281806710829971
49,185034.753152,2,55616016.3328,0.0183618070428849
50,185034.769824,1,55616033.1136,0.0280959970779167
51,185034.786496,2,55616049.6384,0.0183169796284305
52,185034.803136,1,55616066.6112,0.0280677724095565
53,185034.819808,2,55616083.1104,0.0183335823745247
54,185034.83648,1,55616099.6864,0.0280777340572131
55,185034.853152,2,55616116.3648,0.0184423303614418
56,185034.869792,1,55616133.0304,0.0280486792515482
57,185034.886464,2,55616150.2848,0.0183775796516744
58,185034.903136,1,55616166.3744,0.0280702628214707
59,185034.919808,2,55616182.976,0.0184365194003088
60,185034.93648,1,55616199.7568,0.0280254354070163
61,185034.95312,2,55616216.4224,0.0183609769055802
62,185034.969792,1,55616233.0496,0.0280403778785011
63,185034.986464,2,55616249.7152,0.0184481413225748
64,185035.003136,1,55616266.4832,0.0280686025468613
65,185035.019808,2,55616282.9952,0.0184655742059737
66,185035.03648,1,55616299.7248,0.0280038518370939
