FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,188235.608544,7,58817340.6208,0.00392156862745098
1,188235.625184,2,58817356.7104,0.0225714333150703
2,188235.641824,1,58817373.2992,0.0324035795520579
3,188235.658496,2,58817389.8752,0.0205517092527104
4,188235.675168,1,58817406.5536,0.0319553054075144
5,188235.69184,2,58817423.1424,0.0224402716209261
6,188235.708512,1,58817439.8336,0.0299662964254288
7,188235.725184,2,58817456.4992,0.0205118626620843
8,188235.741824,1,58817473.216,0.0298849429695672
9,188235.758496,2,58817489.792,0.0204794873072006
10,188235.775168,1,58817506.4576,0.0301348142982849
11,188235.79184,2,58817523.2384,0.0204944297786854
12,188235.808512,1,58817539.776,0.0299264498348027
13,188235.825152,2,58817556.48,0.0204437914030981
14,188235.841824,1,58817573.1072,0.0297786853945643
15,188235.858496,2,58817589.9392,0.0205151832113031
16,188235.875168,1,58817606.7584,0.0297944580033538
17,188235.89184,2,58817623.5008,0.0204645448357158
18,188235.908512,1,58817639.9744,0.0299978416430078
19,188235.925152,2,58817656.7424,0.0205525393900151
20,188235.941824,1,58817673.408,0.0299721073865617
21,188235.958496,2,58817689.9712,0.0204952599159901
22,188235.975168,1,58817706.624,0.0298069100629244
23,188235.99184,2,58817723.392,0.0204346598927463
24,188236.008544,1,58817739.8784,0.0297878169049161
25,188236.025184,2,58817756.6464,0.0204031146751673
26,188236.041856,1,58817773.3376,0.0296359017781541
27,188236.058528,2,58817789.888,0.0204172270093473
28,188236.0752,1,58817806.528,0.0296392223273729
29,188236.09184,2,58817823.2448,0.0205143530739984
30,188236.108544,1,58817840.0384,0.0297612525111653
31,188236.125184,2,58817856.64,0.0204678653849347
32,188236.141856,1,58817873.28,0.0297429894904617
33,188236.158528,2,58817889.9072,0.0204504325015358
34,188236.1752,1,58817906.5088,0.029493118161744
35,188236.19184,2,58817923.264,0.0204371503046604
36,188236.208512,1,58817939.8528,0.0295379455761983
37,188236.225184,2,58817956.544,0.0204529229134499
38,188236.241856,1,58817973.2608,0.0297272168816722
39,188236.258528,2,58817989.888,0.0203840215171589
40,188236.275168,1,58818006.5664,0.0296682771330378
41,188236.29184,2,58818023.1808,0.0203848516544636
42,188236.308512,1,58818039.9232,0.0294682140426026
43,188236.325184,2,58818056.5888,0.0204105859109097
44,188236.341856,1,58818073.2544,0.0295080606332287
45,188236.358528,2,58818089.92,0.0203043283359068
46,188236.375168,1,58818106.7008,0.0295454168119407
47,188236.39184,2,58818123.5456,0.0204114160482144
48,188236.408512,1,58818140.0576,0.0296715976822566
49,188236.425184,2,58818156.992,0.0204429612657934
50,188236.441856,1,58818173.504,0.0294897976125251
51,188236.458496,2,58818190.0672,0.0204404708538792
52,188236.475168,1,58818206.6432,0.0296060168351845
53,188236.49184,2,58818223.2832,0.0204246982450897
54,188236.508512,1,58818239.9744,0.0296525045242483
55,188236.525184,2,58818256.704,0.0204545831880593
56,188236.541824,1,58818273.344,0.0296998223506168
57,188236.558496,2,58818289.92,0.0204919393667713
58,188236.575168,1,58818306.624,0.0298583785758164
59,188236.59184,2,58818323.456,0.0204911092294666
60,188236.608512,1,58818339.9552,0.0296325812289353
61,188236.625184,2,58818356.5952,0.0205209941724361
62,188236.641824,1,58818373.2864,0.0296035264232704
63,188236.658496,2,58818389.9264,0.0204487722269263
64,188236.675168,1,58818407.168,0.0297371785293288
65,188236.69184,2,58818423.4752,0.0204263585196992
66,188236.708512,1,58818440.064,0.0296657867211237
67,188236.725152,2,58818456.7168,0.0204711859341535
68,188236.741824,1,58818473.3312,0.0297255566070628
69,188236.758496,2,58818489.9456,0.0204446215404028
70,188236.775168,1,58818506.6368,0.0295138715943617
71,188236.79184,2,58818523.3408,0.0203973037140343
72,188236.808512,1,58818539.9552,0.0295396058508077
73,188236.825152,2,58818556.8512,0.02046703524763
74,188236.841824,1,58818573.4016,0.0296915209775697
75,188236.858496,2,58818590.0032,0.020461224286497
76,188236.875168,1,58818606.7584,0.0297438196277664
77,188236.89184,2,58818623.3856,0.0204147365974332
78,188236.90848,1,58818640.0512,0.0296168086201458
79,188236.925152,2,58818656.7808,0.0204321694808321
80,188236.941824,1,58818673.664,0.0295827729906527
81,188236.958496,2,58818690.0608,0.0204836379937242
82,188236.975136,1,58818706.7776,0.0297056333117498
83,188236.991808,2,58818723.6224,0.0203865119290731
84,188237.00848,1,58818740.0576,0.0298210223971045
85,188237.025152,2,58818756.8512,0.0204603941491923
86,188237.041824,1,58818773.44,0.0296923511148744
87,188237.058496,2,58818790.0032,0.0204562434626687
88,188237.075136,1,58818806.6816,0.0295213428301041
89,188237.091808,2,58818823.3472,0.0203914927529013
90,188237.10848,1,58818840.0128,0.0296300908170211
91,188237.125152,2,58818856.7296,0.0204703557968488
92,188237.141824,1,58818873.3568,0.0298201922597998
93,188237.158496,2,58818889.9584,0.0204089256363002
94,188237.175136,1,58818906.7392,0.0295736414803008
95,188237.191808,2,58818923.3408,0.020392322890206
96,188237.20848,1,58818939.9936,0.0295047400840099
97,188237.225152,2,58818956.7232,0.0203632680845412
98,188237.241824,1,58818973.312,0.0293162989158407
99,188237.258496,2,58818989.9904,0.0203657584964553
100,188237.275136,1,58819006.656,0.0295213428301041
101,188237.291808,2,58819023.3984,0.0204114160482144
102,188237.30848,1,58819040.0128,0.0296433730138965
103,188237.325152,2,58819056.8064,0.0203582872607129
104,188237.341792,1,58819073.3824,0.0296026962859657
105,188237.358464,2,58819090.048,0.0203798708306354
106,188237.375136,1,58819106.7008,0.0292938852086135
107,188237.391808,2,58819123.392,0.0203333831415716
108,188237.40848,1,58819140.0064,0.02940429347014
109,188237.42512,2,58819156.7104,0.0203715694575883
110,188237.441792,1,58819173.4144,0.0293702578406468
111,188237.458464,2,58819190.0032,0.0204006242632531
112,188237.475136,1,58819206.6944,0.0292366057345885
113,188237.491808,2,58819223.4624,0.0203566269861035
114,188237.50848,1,58819240,0.0293644468795139
115,188237.52512,2,58819256.7552,0.0203433447892281
116,188237.541792,1,58819273.3696,0.0292880742474805
117,188237.558464,2,58819290.0224,0.0202902160017267
118,188237.575136,1,58819306.7648,0.0294391592369378
119,188237.591808,2,58819323.3792,0.0203848516544636
120,188237.608448,1,58819340.1984,0.0294225564908436
121,188237.62512,2,58819356.736,0.0203757201441118
122,188237.641792,1,58819373.5552,0.0293918414105693
123,188237.658464,2,58819390.1056,0.0203499858876658
124,188237.675136,1,58819406.8736,0.0292872441101758
125,188237.691808,2,58819423.488,0.0203699091829789
126,188237.708448,1,58819440.0128,0.0294383290996331
127,188237.72512,2,58819457.024,0.0203084790224303
128,188237.741792,1,58819473.4592,0.0295769620295197
129,188237.758464,2,58819490.0864,0.0203250817685245
130,188237.775136,1,58819506.7776,0.029690690840265
131,188237.791776,2,58819523.6096,0.0204695256595441
132,188237.808448,1,58819540.1856,0.029398482509007
133,188237.82512,2,58819556.9152,0.020335043416181
134,188237.841792,1,58819573.3888,0.0293320715246302
135,188237.858464,2,58819590.0416,0.0203715694575883
136,188237.875104,1,58819606.7328,0.0295346250269795
137,188237.891776,2,58819623.4368,0.0203856817917684
138,188237.908448,1,58819640.064,0.0296657867211237
139,188237.92512,2,58819656.8448,0.020340854377314
140,188237.941792,1,58819673.4848,0.0294673839052979
141,188237.958464,2,58819690.112,0.020346665338447
142,188237.975104,1,58819706.8032,0.0293777290763892
143,188237.991776,2,58819723.5328,0.0203142899835633
144,188238.008448,1,58819740.1216,0.0293495044080291
145,188238.02512,2,58819756.7744,0.0203541365741894
146,188238.04176,1,58819773.4656,0.0295611894207302
147,188238.058464,2,58819790.08,0.0204155667347379
148,188238.075104,1,58819806.8864,0.0295122113197523
149,188238.091776,2,58819823.5008,0.0203873420663778
150,188238.108448,1,58819840.3072,0.0293885208613505
151,188238.12512,2,58819856.9472,0.0203308927296575
152,188238.14176,1,58819873.5616,0.0292930550713088
153,188238.158464,2,58819890.1504,0.0203574571234082
154,188238.175104,1,58819906.7904,0.0294972688482675
155,188238.191776,2,58819923.5584,0.0204072653616908
156,188238.208448,1,58819940.224,0.0296159784828411
157,188238.22512,2,58819956.9024,0.0203317228669622
158,188238.24176,1,58819973.4912,0.0293544852318573
159,188238.258432,2,58819990.1568,0.0203126297089539
160,188238.275104,1,58820006.8608,0.0292698112267769
161,188238.291776,2,58820023.5264,0.0203225913566104
162,188238.308448,1,58820040.064,0.0293586359183809
163,188238.325088,2,58820056.8576,0.0203516461622752
164,188238.34176,1,58820073.4592,0.0296168086201458
165,188238.358432,2,58820090.1888,0.0204421311284887
166,188238.375104,1,58820106.8928,0.0295678305191679
167,188238.391776,2,58820123.6608,0.0203715694575883
168,188238.408448,1,58820140.1728,0.0293387126230679
169,188238.425088,2,58820156.9408,0.0203142899835633
170,188238.44176,1,58820173.5552,0.0293030167189653
171,188238.458432,2,58820190.1568,0.0203358735534857
172,188238.475104,1,58820206.976,0.0294084441566635
173,188238.491744,2,58820223.5776,0.0203649283591506
174,188238.508416,1,58820240.2176,0.0294922880244392
175,188238.525088,2,58820256.832,0.0204188872839568
176,188238.54176,1,58820273.4976,0.0294291975892813
177,188238.558432,2,58820290.1504,0.0203076488851256
178,188238.575104,1,58820306.9568,0.0292656605402534
179,188238.591744,2,58820323.5328,0.0203010077866879
180,188238.608416,1,58820340.352,0.0292714715013863
181,188238.625088,2,58820356.9792,0.0203557968487988
182,188238.64176,1,58820373.5808,0.0294889674752204
183,188238.658432,2,58820390.1952,0.0203765502814165
184,188238.675072,1,58820407.0144,0.0293694277033421
185,188238.691744,2,58820423.6416,0.0203267420431339
186,188238.708416,1,58820440.2944,0.0291851372216965
187,188238.725088,2,58820457.0624,0.0203308927296575
188,188238.74176,1,58820473.8304,0.0291917783201341
189,188238.758432,2,58820490.2272,0.0202794242167655
190,188238.775072,1,58820506.816,0.0293113180920124
191,188238.791744,2,58820523.6608,0.0203840215171589
192,188238.808416,1,58820540.224,0.0294092742939682
193,188238.825088,2,58820557.0816,0.0203084790224303
194,188238.84176,1,58820573.5936,0.0294101044312729
195,188238.858432,2,58820590.272,0.0203524762995799
196,188238.875072,1,58820607.0272,0.0293063372681842
197,188238.891744,2,58820623.7696,0.0203524762995799
198,188238.908416,1,58820640.2176,0.029246567382245
199,188238.925088,2,58820656.96,0.020340854377314
200,188238.941728,1,58820673.6,0.0294399893742425
201,188238.958432,2,58820690.2272,0.0204437914030981
202,188238.975072,1,58820706.9312,0.0294582523949461
203,188238.991744,2,58820723.904,0.0203159502581727
204,188239.008416,1,58820740.3008,0.0292034002424001
205,188239.025056,2,58820756.9408,0.0203914927529013
206,188239.041728,1,58820773.6832,0.0292673208148628
207,188239.058432,2,58820790.144,0.0203308927296575
208,188239.075072,1,58820807.0144,0.0293735783898657
209,188239.091744,2,58820823.616,0.0203682489083694
210,188239.108416,1,58820840.2816,0.029507230495924
211,188239.125056,2,58820857.0624,0.0203873420663778
212,188239.141728,1,58820873.6384,0.0293146386412313
213,188239.158432,2,58820890.2656,0.0203043283359068
214,188239.175072,1,58820907.0208,0.0291984194185718
215,188239.191744,2,58820923.584,0.02036658863376
216,188239.208416,1,58820940.3648,0.0291751755740399
217,188239.225056,2,58820956.9536,0.020263651607976
218,188239.241728,1,58820973.6064,0.0292905646593947
219,188239.258432,2,58820990.272,0.0203201009446963
220,188239.275072,1,58821006.9504,0.0294092742939682
221,188239.291712,2,58821023.7056,0.02036658863376
222,188239.308416,1,58821040.2688,0.029100463216616
223,188239.325056,2,58821057.1648,0.0203541365741894
224,188239.341728,1,58821073.6256,0.0291079344523584
225,188239.358432,2,58821090.2912,0.0203026680612973
226,188239.375072,1,58821106.9824,0.0292905646593947
227,188239.391712,2,58821123.5712,0.0203898324782919
228,188239.408416,1,58821140.3648,0.029475685278345
229,188239.425056,2,58821157.0048,0.0203524762995799
230,188239.441728,1,58821173.6064,0.0291926084574389
231,188239.458432,2,58821190.2464,0.0203516461622752
232,188239.47504,1,58821206.9888,0.0291934385947436
233,188239.491712,2,58821223.616,0.0203391941027046
234,188239.508416,1,58821240.3712,0.0292083810662284
235,188239.525056,2,58821256.9216,0.020429679068918
236,188239.541728,1,58821273.7152,0.0294416496488519
237,188239.558432,2,58821290.3808,0.0204479420896216
238,188239.57504,1,58821307.0848,0.0294308578638907
239,188239.591712,2,58821323.6992,0.0203765502814165
240,188239.608416,1,58821340.3648,0.0290954823927878
241,188239.625056,2,58821357.1456,0.0203624379472365
242,188239.641696,1,58821373.696,0.0292291344988461
243,188239.658432,2,58821390.3616,0.0203549667114941
244,188239.67504,1,58821407.0656,0.0292374358718932
245,188239.691712,2,58821423.744,0.020461224286497
246,188239.708416,1,58821440.3328,0.0294159153924059
247,188239.725056,2,58821457.2672,0.0205226544470455
248,188239.741696,1,58821473.8304,0.0293503345453338
249,188239.758432,2,58821490.4448,0.0203831913798542
250,188239.77504,1,58821507.0592,0.0291203865119291
251,188239.791712,2,58821523.7632,0.0203699091829789
252,188239.808416,1,58821540.3904,0.0291851372216965
253,188239.825056,2,58821557.1328,0.0203740598695024
254,188239.841696,1,58821573.7216,0.029398482509007
255,188239.858432,2,58821590.2976,0.0204006242632531
256,188239.87504,1,58821607.0656,0.0295603592834255
257,188239.891712,2,58821623.744,0.0204587338745829
258,188239.908416,1,58821640.3072,0.0292764523252146
259,188239.925024,2,58821657.1392,0.0204512626388405
260,188239.941696,1,58821673.792,0.0294399893742425
261,188239.958432,2,58821690.4576,0.0204230379704803
262,188239.97504,1,58821707.0848,0.0293046769935747
263,188239.991712,2,58821723.6224,0.0203848516544636
264,188240.008416,1,58821740.3392,0.0294125948431871
265,188240.025024,2,58821757.0176,0.0204969201905995
266,188240.041696,1,58821773.7088,0.0293162989158407
267,188240.058432,2,58821790.3232,0.0204130763228238
268,188240.07504,1,58821807.0912,0.0292382660091979
269,188240.09168,2,58821823.68,0.0204105859109097
270,188240.108416,1,58821840.4224,0.0291519317295081
271,188240.125024,2,58821857.1776,0.0204371503046604
272,188240.141696,1,58821873.7536,0.029157742690641
273,188240.158368,2,58821890.3168,0.0204437914030981
274,188240.175008,1,58821907.0464,0.0292938852086135
275,188240.19168,2,58821923.7632,0.0203450050638376
276,188240.208416,1,58821940.3392,0.0293403728976773
277,188240.225024,2,58821957.056,0.0204678653849347
278,188240.241696,1,58821973.7216,0.0292316249107602
279,188240.258368,2,58821990.3488,0.0204255283823944
280,188240.275008,1,58822007.0016,0.0291286878849762
281,188240.29168,2,58822023.7056,0.0203890023409872
282,188240.308352,1,58822040.3456,0.02928973452209
283,188240.325024,2,58822057.088,0.0204587338745829
284,188240.341696,1,58822073.7152,0.0292100413408378
