FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,186724.623552,7,57306133.9008,0.00392156862745098
1,186724.640192,2,57306149.7088,0.021566967176371
2,186724.656832,1,57306166.3872,0.0288862877920008
3,186724.673504,2,57306182.9888,0.0195364513290498
4,186724.690176,1,57306199.616,0.0286173233052747
5,186724.706848,2,57306216.2688,0.0195314705052216
6,186724.72352,1,57306232.9728,0.028584947950391
7,186724.740192,2,57306249.6512,0.0214839534459
8,186724.756832,1,57306266.368,0.0285666849296874
9,186724.773504,2,57306284.5184,0.0214241835599608
10,186724.790176,1,57306299.7888,0.0284745396888645
11,186724.806848,2,57306316.3776,0.021452408228321
12,186724.82352,1,57306333.0176,0.0283217944247979
13,186724.84016,2,57306349.9136,0.0214241835599608
14,186724.856832,1,57306366.7328,0.0283276053859308
15,186724.873504,2,57306383.2576,0.0213868273812489
16,186724.890176,1,57306400.064,0.0283674519765569
17,186724.906848,2,57306416.576,0.0213810164201159
18,186724.92352,1,57306433.1136,0.0283317560724544
19,186724.94016,2,57306450.0864,0.0213627533994123
20,186724.956832,1,57306466.432,0.0281474655908087
21,186724.973504,2,57306485.4912,0.0213702246351547
22,186724.990176,1,57306499.8528,0.028209725888662
23,186725.006848,2,57306516.4672,0.0213146054357391
24,186725.02352,1,57306533.1456,0.0281889724560442
25,186725.04016,2,57306549.7728,0.0213270574953097
26,186725.056832,1,57306566.4512,0.0281574272384652
27,186725.073504,2,57306583.0912,0.0212938520031213
28,186725.090176,1,57306599.8464,0.0281283724328004
29,186725.106816,2,57306616.4224,0.0212847204927695
30,186725.12352,1,57306633.1264,0.028089355979479
31,186725.14016,2,57306649.9072,0.0212589862363235
32,186725.156832,1,57306666.4448,0.028063621723033
33,186725.173504,2,57306683.0848,0.0212540054124952
34,186725.190176,1,57306699.776,0.0281001477644402
35,186725.206816,2,57306716.4416,0.0212598163736282
36,186725.223488,1,57306733.504,0.0280652819976424
37,186725.24016,2,57306749.76,0.0212581560990188
38,186725.256832,1,57306766.464,0.0280021915624844
39,186725.273504,2,57306783.2192,0.0212847204927695
40,186725.290144,1,57306799.8592,0.0279606846972489
41,186725.306816,2,57306816.4608,0.0212706081585894
42,186725.323488,1,57306833.0496,0.027968986070296
43,186725.34016,2,57306849.8048,0.0212124985472597
44,186725.356832,1,57306866.4704,0.028037887466587
45,186725.373504,2,57306883.456,0.0212282711560492
46,186725.390144,1,57306900.0448,0.0279698162076007
47,186725.406816,2,57306916.5824,0.0212357423917916
48,186725.423488,1,57306933.6704,0.0280329066427587
49,186725.44016,2,57306949.9136,0.0212332519798775
50,186725.456832,1,57306966.592,0.0279092161843569
51,186725.473504,2,57306983.1808,0.0212340821171822
52,186725.490144,1,57307000,0.0279067257724428
53,186725.506816,2,57307016.5632,0.0212847204927695
54,186725.523488,1,57307033.28,0.0280569806245953
55,186725.54016,2,57307050.048,0.0213345287310521
56,186725.5568,1,57307066.5216,0.0280793943318225
57,186725.573472,2,57307083.2128,0.0212349122544869
58,186725.590144,1,57307099.9424,0.0280686025468613
59,186725.606816,2,57307116.5184,0.021231591705268
60,186725.623488,1,57307133.5808,0.0279963806013515
61,186725.640128,2,57307149.9008,0.0212515150005811
