FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,185500.69856,7,56082030.528,0.00392156862745098
1,185500.7152,2,56082046.8096,0.0153484086267869
2,185500.731872,1,56082063.6928,0.0240764722485099
3,185500.748512,2,56082079.9744,0.0172768175856287
4,185500.765184,1,56082096.6656,0.0220293536550945
5,185500.781856,2,56082113.3056,0.0172627052514486
6,185500.798528,1,56082130.0224,0.021967923494546
7,185500.8152,2,56082146.6496,0.0152189072072521
8,185500.83184,1,56082163.328,0.0218176686423934
9,185500.848512,2,56082182.4128,0.0152554332486593
10,185500.865184,1,56082196.8384,0.0218508741345819
11,185500.881856,2,56082213.3376,0.0151964935000249
12,185500.898528,1,56082229.9904,0.0217562384818449
13,185500.915168,2,56082246.72,0.0152064551476814
14,185500.93184,1,56082263.3088,0.0217562384818449
15,185500.948512,2,56082280.1664,0.0151491756736564
16,185500.965184,1,56082296.9216,0.0217197124404376
17,185500.981856,2,56082313.536,0.0151666085570553
18,185500.998528,1,56082330.1632,0.0216225863757866
19,185501.015168,2,56082346.8032,0.0151948332254155
20,185501.03184,1,56082363.4432,0.0217595590310637
21,185501.048512,2,56082380.6208,0.0151682688316648
22,185501.065184,1,56082396.7616,0.0217296740880942
23,185501.081856,2,56082413.3888,0.0151168003187727
24,185501.098528,1,56082430.1568,0.0216566220052797
25,185501.115168,2,56082446.8224,0.0151425345752187
26,185501.13184,1,56082463.4496,0.021541232919925
27,185501.148512,2,56082480.1152,0.01515332636018
28,185501.165184,1,56082496.768,0.0216549617306703
29,185501.181824,2,56082513.4848,0.0151151400441633
30,185501.198528,1,56082530.112,0.0215619863525427
31,185501.215168,2,56082546.8672,0.0151873619896731
32,185501.23184,1,56082563.4304,0.0214847835832047
33,185501.248512,2,56082580.1216,0.0151591373213129
34,185501.265184,1,56082596.8,0.0215976822566452
35,185501.281824,2,56082613.3888,0.0150603509820524
36,185501.298496,1,56082630.1696,0.0215470438810579
37,185501.315168,2,56082646.784,0.0150196742541216
38,185501.33184,1,56082663.4624,0.0213527917517557
39,185501.348512,2,56082680.1536,0.015027145489864
40,185501.365152,1,56082696.7808,0.0213245670833956
41,185501.381824,2,56082713.4336,0.0149789975261908
42,185501.398496,1,56082730.112,0.0212872109046836
43,185501.415168,2,56082746.7264,0.014912586541814
44,185501.43184,1,56082763.4048,0.0211319752287028
45,185501.448512,2,56082780.096,0.0149250386013847
46,185501.465152,1,56082796.8896,0.0211411067390546
47,185501.481824,2,56082813.696,0.0149474523086118
48,185501.498496,1,56082830.3488,0.0212224601949162
49,185501.515168,2,56082846.8992,0.0149159070910329
50,185501.53184,1,56082863.5264,0.0211568793478441
51,185501.54848,2,56082880.1408,0.0148619481662267
52,185501.565152,1,56082896.9344,0.0210838272650296
53,185501.581824,2,56082913.5744,0.0148403645963042
54,185501.598496,1,56082930.2272,0.0210448108117083
55,185501.615168,2,56082946.944,0.0148660988527502
56,185501.631808,1,56082963.584,0.0211386163271405
57,185501.64848,2,56082980.352,0.0149258687386894
58,185501.665152,1,56082996.7744,0.0211112217960851
59,185501.681824,2,56083013.4528,0.0148793810496256
60,185501.698496,1,56083030.1056,0.0210605834204978
61,185501.715168,2,56083046.8224,0.0148486659693513
62,185501.731808,1,56083063.5392,0.0209725888661985
63,185501.74848,2,56083080.2048,0.0148187810263818
64,185501.765152,1,56083096.8704,0.021008284770301
65,185501.781824,2,56083113.472,0.014792216632631
66,185501.798496,1,56083130.2016,0.0210888080888579
67,185501.815136,2,56083146.9056,0.0148411947336089
68,185501.831808,1,56083163.4816,0.0210099450449104
69,185501.84848,2,56083180.1216,0.0148843618734539
70,185501.865152,1,56083196.8256,0.0210223971044811
71,185501.881824,2,56083213.4656,0.0148378741843901
72,185501.898496,1,56083230.1568,0.0209277614517441
73,185501.915136,2,56083246.8096,0.0148511563812655
74,185501.931808,1,56083263.488,0.0210871478142485
75,185501.94848,2,56083280.1408,0.0148719098138832
76,185501.965152,1,56083296.9344,0.0210722053427637
77,185501.981824,2,56083313.664,0.0148411947336089
78,185501.998464,1,56083330.2912,0.0209958327107304
79,185502.015136,2,56083346.944,0.01482376185021
80,185502.031808,1,56083363.8656,0.0209850409257691
81,185502.04848,2,56083380.16,0.0148984742076339
82,185502.06512,1,56083396.8512,0.0209999833972539
83,185502.081792,2,56083413.6064,0.0148403645963042
84,185502.098464,1,56083430.1952,0.0209094984310405
85,185502.115136,2,56083446.9248,0.0147938769072405
86,185502.131808,1,56083463.5008,0.0210033039464727
87,185502.14848,2,56083480.384,0.0148395344589995
88,185502.16512,1,56083497.024,0.0209941724361209
89,185502.181792,2,56083513.5616,0.0148270823994289
90,185502.198464,1,56083530.2016,0.0209983231226445
91,185502.215136,2,56083547.0336,0.0148154604771629
92,185502.231808,1,56083563.5584,0.0210821669904202
93,185502.24848,2,56083580.1984,0.0149233783267752
94,185502.26512,1,56083596.8768,0.0211336355033122
95,185502.281792,2,56083613.5296,0.0148785509123209
96,185502.298464,1,56083630.1952,0.0210207368298717
97,185502.315136,2,56083646.976,0.0147507097673955
