FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0,G0-pks
1,4508.786208,2,64546780.85,0.0014877126331767146,
3,4508.819552,2,64546814.08,0.0008699658485609649,
5,4508.852864,2,64546847.41,0.0010092995750935474,
7,4508.886208,2,64546880.69,0.0009178508179683402,
9,4508.91952,2,64546914.97,0.00013904458237319617,
11,4508.952864,2,64546947.49,0.0008395378734898824,
13,4508.986176,2,64546980.76,-2.6442303505645748e-05,
15,4509.01952,2,64547014.09,0.0002448610565563662,
17,4509.052864,2,64547047.4,0.00017995495883983692,
19,4509.086176,2,64547080.74,-0.0007043015914973451,
21,4509.11952,2,64547114.6,-0.0005824355893032235,
23,4509.152864,2,64547147.38,-0.0011935860294317938,
25,4509.186176,2,64547180.81,-0.0014361599067431625,
27,4509.21952,2,64547214.14,-0.0010121372161031317,
29,4509.252832,2,64547247.59,-0.0015992269523836151,
31,4509.286176,2,64547280.84,-0.001434217110462481,
33,4509.31952,2,64547314.18,-0.0010807696852233283,
35,4509.352832,2,64547347.56,-0.0016595706715558864,
37,4509.386176,2,64547380.81,-0.0016124530643558017,
39,4509.41952,2,64547414.16,-0.0012864138585243767,
41,4509.452832,2,64547447.53,-0.0012268520489690828,
43,4509.486176,2,64547480.88,-0.0014561836306031632,
45,4509.519488,2,64547514.18,-0.0009309245983457892,
47,4509.552832,2,64547547.47,-0.0015578999471219206,
49,4509.586176,2,64547580.85,-0.00110736167186248,
51,4509.619488,2,64547614.18,-0.0007514637675043387,
53,4509.652832,2,64547647.46,-0.0011933322289899434,
55,4509.686176,2,64547681.02,-0.0005709690512678764,
57,4509.719488,2,64547714.24,-0.0007256182292924816,
59,4509.752832,2,64547747.64,-0.0009616247580238046,
61,4509.786144,2,64547780.95,-0.0003874226324279695,
63,4509.819488,2,64547814.67,-0.0007122628474766808,
65,4509.852832,2,64547847.95,-0.0007615023981476197,
67,4509.886144,2,64547880.88,-0.0008231982794241963,
69,4509.919488,2,64547914.23,-0.0012841944862957422,
71,4509.952832,2,64547947.55,-0.0010545210137571787,
73,4509.986144,2,64547980.89,-0.0008339828568095058,
75,4510.01952,2,64548014.25,-0.001185414010459157,
77,4510.0528,2,64548047.53,-0.0007581804697186778,
79,4510.086144,2,64548080.86,-0.00044800022960616095,
81,4510.119488,2,64548114.62,-0.0012543592851455496,
83,4510.1528,2,64548147.64,-0.0009226046313665602,
85,4510.186144,2,64548180.98,-0.0009586042633046507,
87,4510.219488,2,64548214.34,-0.001031135176000935,
89,4510.2528,2,64548247.62,-0.0006479243645023738,
91,4510.286144,2,64548280.95,-0.0011504748238617066,
93,4510.319488,2,64548314.23,-0.00046759354913718243,
95,4510.3528,2,64548347.75,-0.0006663215353930052,
97,4510.386144,2,64548380.99,-0.0010078377776988924,
99,4510.419488,2,64548414.32,-0.0007508292711304147,
101,4510.4528,2,64548447.56,-0.0007553190107687964,
103,4510.486144,2,64548480.92,-0.0009922509917008882,
105,4510.519488,2,64548514.33,-0.0005733782090193464,
107,4510.5528,2,64548547.81,-0.001010381657822343,
109,4510.586112,2,64548580.98,-0.000737621333213926,
111,4510.619456,2,64548614.3,-0.0004906002303036311,
113,4510.6528,2,64548647.64,-0.00117333734420675,
115,4510.686112,2,64548680.93,-0.000407488670044167,
117,4510.719456,2,64548714.23,-0.0005772082029424953,
119,4510.7528,2,64548748.24,-0.0006697299380338181,
121,4510.786112,2,64548780.99,-0.0004924618704561234,
123,4510.819456,2,64548814.32,-0.0007626409953527293,
125,4510.852768,2,64548847.64,-0.0003338493078728112,
127,4510.886112,2,64548881.01,-0.0008887738031709488,
129,4510.919456,2,64548914.23,-0.0005396834764075931,
131,4510.952768,2,64548947.66,-0.0007550903227484911,
133,4510.986112,2,64548980.95,-0.000945597337365222,
135,4511.019488,2,64549014.3,-0.0008256375154348412,
137,4511.0528,2,64549047.68,-0.001107467852139988,
139,4511.086144,2,64549081.0,-0.0008023953426688907,
141,4511.119488,2,64549114.38,-0.001110798982215347,
143,4511.1528,2,64549147.76,-0.0006853647659787812,
145,4511.186144,2,64549181.0,-0.0010651686891640193,
147,4511.219488,2,64549214.39,-0.000896254746981566,
149,4511.2528,2,64549247.73,-0.0009855189346473434,
151,4511.286144,2,64549281.08,-0.0010764462473830498,
153,4511.319456,2,64549314.38,-0.0009183376804156249,
155,4511.3528,2,64549347.99,-0.0009661062289777131,
157,4511.386144,2,64549381.32,-0.0007673288883074045,
159,4511.419456,2,64549414.54,-0.0008524626536483351,
161,4511.4528,2,64549448.17,-0.0005930925202495899,
163,4511.486112,2,64549481.27,-0.0010202514833658263,
165,4511.519456,2,64549514.57,-0.0007857945382571188,
167,4511.5528,2,64549547.96,-0.0009987846801890778,
169,4511.586112,2,64549581.29,-0.0006755119044327511,
171,4511.619456,2,64549614.63,-0.0005423432062647768,
173,4511.6528,2,64549647.87,-0.0008093055809670589,
175,4511.686112,2,64549681.1,-0.0007043700238270195,
177,4511.719456,2,64549714.52,-0.001004545530137773,
179,4511.752768,2,64549747.83,-0.0011403580951975072,
181,4511.786112,2,64549781.34,-0.0008079777143100847,
183,4511.819456,2,64549814.57,-0.000960401382784682,
185,4511.852768,2,64549848.41,-0.00046698209593613177,
187,4511.886112,2,64549881.25,-0.0002873588490843945,
189,4511.919456,2,64549914.5,-0.0004422846375549995,
191,4511.952768,2,64549947.85,-7.837845667885146e-05,
193,4511.986112,2,64549981.31,-0.0003188173017923089,
195,4512.019456,2,64550014.54,-0.00019482916823701513,
197,4512.052768,2,64550048.41,-0.0006112640513601525,
199,4512.086112,2,64550081.16,-0.0009330679465141718,
201,4512.119456,2,64550114.59,-0.0005168838490568969,
203,4512.152768,2,64550147.81,-0.0007598327543516144,
205,4512.18608,2,64550181.34,-0.00047813865776687864,
207,4512.219456,2,64550214.57,-0.0005077495546766397,
209,4512.252768,2,64550248.1,-0.0004734444404603244,
211,4512.28608,2,64550281.74,-0.000556192310502468,
213,4512.319456,2,64550314.55,-0.0008082931601930965,
215,4512.352768,2,64550347.97,-0.0004568869849275979,
217,4512.38608,2,64550381.3,-0.0008949457801065083,
219,4512.419456,2,64550414.59,-0.00047962754113590675,
221,4512.452768,2,64550448.19,-0.0006761242634270928,
223,4512.48608,2,64550481.24,-0.000717389942396663,
225,4512.519456,2,64550514.59,-0.0006075735734664862,
227,4512.552736,2,64550547.93,-0.0006704301520638195,
229,4512.58608,2,64550581.24,-8.329267362111245e-05,
231,4512.619456,2,64550614.52,-0.0007073301335761874,
233,4512.652736,2,64550647.96,-0.0012118315273720488,
235,4512.68608,2,64550681.32,-0.0013211918504571867,
237,4512.719456,2,64550714.52,-0.0018688680982850113,
239,4512.752736,2,64550747.88,-0.0012161702663145146,
241,4512.78608,2,64550781.22,-0.0015828843500097084,
243,4512.819456,2,64550814.72,-0.0013004353448400272,
245,4512.852736,2,64550848.0,-0.0008245682462800323,
247,4512.88608,2,64550881.34,-0.0012884200498096757,
249,4512.919456,2,64550914.66,-0.001380374750913873,
251,4512.952736,2,64550947.83,-0.0014947463450830749,
253,4512.986048,2,64550981.29,-0.0019735528278126586,
255,4513.019456,2,64551014.68,-0.0012984721946034741,
257,4513.052736,2,64551048.42,-0.001397913440961348,
259,4513.086048,2,64551081.29,-0.0014724545623974877,
261,4513.119456,2,64551114.64,-0.000897832554428199,
263,4513.152736,2,64551148.02,-0.001157501412574962,
265,4513.186048,2,64551181.32,-0.001262769132364512,
267,4513.219456,2,64551214.63,-0.001161336709328751,
269,4513.252704,2,64551248.14,-0.0015131631390046946,
271,4513.286048,2,64551281.45,-0.001317932416934512,
273,4513.319456,2,64551314.71,-0.001253037538665569,
275,4513.352704,2,64551348.11,-0.0018348234997504695,
277,4513.386048,2,64551381.49,-0.0017931792957467975,
279,4513.419392,2,64551414.67,-0.002247131922217368,
281,4513.452704,2,64551448.09,-0.001939021374730128,
283,4513.486048,2,64551481.34,-0.0016375566488581773,
285,4513.519392,2,64551514.71,-0.001771917740179662,
287,4513.552704,2,64551547.99,-0.0008669506442778759,
289,4513.586048,2,64551581.35,-0.0013483163567412394,
291,4513.61936,2,64551614.69,-0.0004948248731633208,
293,4513.652704,2,64551647.97,-0.0011355851891427342,
295,4513.686048,2,64551681.31,-0.0008474253002830924,
297,4513.71936,2,64551714.65,-0.0009477732021932958,
299,4513.752704,2,64551748.61,-0.0007127498904871757,
301,4513.786048,2,64551781.43,-0.0001797103607836803,
303,4513.81936,2,64551814.76,-0.00048760460870689304,
305,4513.852704,2,64551848.05,-0.0001056576298858608,
307,4513.886016,2,64551881.69,-0.0005580024199547118,
309,4513.91936,2,64551914.71,-0.00036035397455264073,
311,4513.952704,2,64551948.06,-0.0009737532893239059,
313,4513.986016,2,64551981.4,-0.0011023563599177923,
315,4514.01936,2,64552014.72,-0.0006075301819885789,
317,4514.052672,2,64552048.23,-0.000987671751195681,
319,4514.086016,2,64552081.48,-0.0005974500632034072,
321,4514.11936,2,64552114.73,-0.0009776001136811048,
323,4514.152672,2,64552148.01,-0.00047033589830326045,
325,4514.186016,2,64552181.45,-0.0001780824127492371,
327,4514.21936,2,64552214.8,-0.00041960965270338574,
329,4514.252672,2,64552248.04,-0.00023196061385520952,
331,4514.286016,2,64552281.57,-0.00015638329189895245,
333,4514.319328,2,64552314.8,-0.0003356616825340268,
335,4514.352672,2,64552348.29,-0.00018039878146481475,
337,4514.386016,2,64552381.66,-0.0002650485844005561,
339,4514.419328,2,64552414.98,9.109991294443259e-05,
341,4514.452672,2,64552448.37,0.00021895771485088908,
343,4514.486016,2,64552482.09,-6.99181744052979e-05,
345,4514.519328,2,64552514.83,-6.907875055325169e-05,
347,4514.552672,2,64552548.21,-0.0005082160093271386,
349,4514.585984,2,64552581.62,-0.00023675994646586707,
351,4514.619328,2,64552614.8,-0.0004027895577134455,
353,4514.652672,2,64552648.23,-0.0002168448388186854,
355,4514.685984,2,64552682.07,-2.924278553548265e-05,
357,4514.719328,2,64552715.03,-0.00026501539362237467,
359,4514.752672,2,64552748.28,-1.1009658843045417e-05,
361,4514.785984,2,64552781.61,-0.00028248557696599827,
363,4514.819328,2,64552814.9,-0.0002576051437646505,
365,4514.852672,2,64552848.26,-0.0007341323550172606,
367,4514.885984,2,64552881.68,-0.0012330762065070472,
369,4514.919328,2,64552914.96,-0.0009873906940220008,
371,4514.95264,2,64552948.33,-0.0015411308133551696,
373,4514.985984,2,64552981.5,-0.0014639695603041562,
375,4515.019328,2,64553014.84,-0.0013071199306718267,
377,4515.05264,2,64553048.6,-0.001593566920265601,
379,4515.085984,2,64553081.69,-0.0009552445248977928,
381,4515.119296,2,64553114.8,-0.0008614957403857218,
383,4515.15264,2,64553148.26,-0.0010682605625514097,
385,4515.185984,2,64553181.68,-0.0008890149872216729,
387,4515.219296,2,64553214.91,-0.0008484050102283425,
389,4515.25264,2,64553248.15,-0.0009331506274078555,
391,4515.285984,2,64553281.61,-0.0003355268346016266,
393,4515.319296,2,64553315.0,-0.0006327936276557707,
395,4515.35264,2,64553348.3,-0.0003058020024213834,
397,4515.385952,2,64553381.81,-0.00032747095475408466,
399,4515.419296,2,64553414.98,-0.0007227054805145419,
401,4515.45264,2,64553448.36,-0.00080830257556809,
403,4515.485952,2,64553481.72,-0.0010441572357848365,
405,4515.519296,2,64553515.01,-0.0011073474570397548,
407,4515.55264,2,64553548.34,-0.0009978732352125957,
409,4515.585952,2,64553581.56,-0.0013732015661876464,
411,4515.619296,2,64553614.9,-0.0010063914458543384,
413,4515.652608,2,64553648.31,-0.0006512068701064501,
415,4515.685952,2,64553681.64,-0.0008970448348428542,
417,4515.719296,2,64553714.85,-0.001055722335966968,
419,4515.752608,2,64553748.42,-0.0011015043693870623,
421,4515.785952,2,64553781.85,-0.0018537369310160853,
423,4515.819296,2,64553815.07,-0.0019485040167716745,
425,4515.852608,2,64553848.42,-0.0013160746225762167,
