FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,4178.685568,7,64216632.37,0.003921569
1,4178.702208,2,64216647.22,0.030568146
2,4178.718848,1,64216663.78,0.042821803
3,4178.73552,2,64216680.46,0.028221348
4,4178.752192,1,64216697.08,0.042741279
5,4178.768864,2,64216713.75,0.0297488
6,4178.785536,1,64216730.38,0.041365742
7,4178.802208,2,64216747.05,0.029351995
8,4178.818848,1,64216764.24,0.04159486
9,4178.83552,2,64216780.44,0.029659976
10,4178.852192,1,64216797.09,0.041492753
11,4178.868864,2,64216813.84,0.029461573
12,4178.885536,1,64216830.57,0.041374873
13,4178.902176,2,64216848.38,0.029094652
14,4178.918848,1,64216863.92,0.040828643
15,4178.93552,2,64216880.69,0.028933606
16,4178.952192,1,64216897.09,0.040340522
17,4178.968864,2,64216913.78,0.028288589
18,4178.985536,1,64216934.12,0.039760256
19,4179.002176,2,64216947.16,0.028130033
20,4179.018848,1,64216963.9,0.039515366
21,4179.03552,2,64216980.45,0.028110109
22,4179.052192,1,64216997.13,0.039082034
23,4179.068864,2,64217014.07,0.02769338
24,4179.085536,1,64217030.45,0.038160582
25,4179.102176,2,64217047.1,0.026893128
26,4179.118848,1,64217064.01,0.037712308
27,4179.13552,2,64217080.59,0.026769438
28,4179.152192,1,64217097.18,0.037610201
29,4179.168832,2,64217113.86,0.026710498
30,4179.185536,1,64217130.51,0.037322143
31,4179.202176,2,64217147.26,0.026434062
32,4179.218848,1,64217163.76,0.03718102
33,4179.23552,2,64217180.49,0.026355199
34,4179.252192,1,64217197.4,0.037231658
35,4179.268832,2,64217213.85,0.026439873
36,4179.285504,1,64217230.46,0.037171058
37,4179.302176,2,64217247.21,0.02672544
38,4179.318848,1,64217263.87,0.037519716
39,4179.33552,2,64217280.47,0.027128057
40,4179.35216,1,64217297.11,0.03797048
41,4179.368832,2,64217313.77,0.027360495
42,4179.385504,1,64217330.55,0.039063771
43,4179.402176,2,64217347.26,0.028207235
44,4179.418848,1,64217364.04,0.040362936
45,4179.43552,2,64217380.49,0.028654679
46,4179.45216,1,64217397.32,0.040009298
47,4179.468832,2,64217413.77,0.02847869
48,4179.485504,1,64217430.57,0.040062426
49,4179.502176,2,64217447.16,0.028664641
50,4179.518816,1,64217464,0.039970281
51,4179.535488,2,64217480.5,0.028766748
52,4179.55216,1,64217497.16,0.039792632
53,4179.568832,2,64217513.8,0.028667962
54,4179.585504,1,64217530.76,0.040680879
55,4179.602176,2,64217547.15,0.029488967
56,4179.618816,1,64217563.8,0.041120851
57,4179.635488,2,64217580.53,0.028760107
58,4179.65216,1,64217597.25,0.040457572
59,4179.668832,2,64217613.98,0.02944497
60,4179.685504,1,64217630.52,0.041266125
61,4179.702176,2,64217647.85,0.02926234
62,4179.718816,1,64217664,0.039707128
63,4179.735488,2,64217680.58,0.028740184
64,4179.75216,1,64217697.25,0.04063024
65,4179.768832,2,64217713.96,0.029432518
66,4179.785504,1,64217731.15,0.040773024
67,4179.802144,2,64217747.24,0.028629775
68,4179.818816,1,64217763.99,0.04014627
69,4179.835488,2,64217780.58,0.029156082
70,4179.85216,1,64217797.25,0.041198884
71,4179.868832,2,64217813.95,0.029557039
72,4179.885504,1,64217830.71,0.040355465
73,4179.902144,2,64217847.27,0.029009978
74,4179.918816,1,64217864.37,0.040741479
75,4179.935488,2,64217880.88,0.029483157
76,4179.95216,1,64217897.37,0.04111006
77,4179.9688,2,64217914.15,0.029172685
78,4179.985472,1,64217930.76,0.03996364
79,4180.002144,2,64217947.35,0.028902891
80,4180.018816,1,64217964.13,0.04087015
81,4180.035488,2,64217980.74,0.029567831
82,4180.05216,1,64217997.53,0.041020405
83,4180.0688,2,64218014.04,0.028941907
84,4180.085472,1,64218030.87,0.039810065
85,4180.102144,2,64218047.53,0.028731882
86,4180.118816,1,64218064.23,0.040880112
87,4180.135488,2,64218080.88,0.029465724
88,4180.152128,1,64218097.38,0.040953994
89,4180.1688,2,64218114.19,0.028721921
90,4180.185472,1,64218130.69,0.040215172
91,4180.202144,2,64218147.37,0.029103784
92,4180.218816,1,64218164.11,0.040968106
93,4180.235488,2,64218180.81,0.029233285
94,4180.252128,1,64218197.4,0.041046139
95,4180.2688,2,64218214.17,0.028763427
96,4180.285472,1,64218230.8,0.039898059
97,4180.302144,2,64218247.49,0.028622304
98,4180.318816,1,64218264.19,0.040476665
99,4180.335488,2,64218280.78,0.029118726
100,4180.352128,1,64218297.4,0.040427687
101,4180.3688,2,64218314.14,0.028682904
102,4180.385472,1,64218330.74,0.039341037
103,4180.402144,2,64218347.46,0.028317644
104,4180.418784,1,64218364.28,0.039651508
105,4180.435456,2,64218380.79,0.028563364
106,4180.452128,1,64218397.59,0.039960319
107,4180.4688,2,64218413.99,0.028931115
108,4180.485472,1,64218430.89,0.039908021
109,4180.502144,2,64218447.4,0.02853597
110,4180.518784,1,64218464.2,0.039979413
111,4180.535456,2,64218481.24,0.028811575
112,4180.552128,1,64218497.5,0.040358785
113,4180.5688,2,64218514.18,0.029162724
114,4180.585472,1,64218530.71,0.040482476
115,4180.602112,2,64218547.58,0.028903721
116,4180.618784,1,64218564.11,0.039405788
117,4180.635456,2,64218581.06,0.02835749
118,4180.652128,1,64218597.45,0.039701317
119,4180.6688,2,64218614.13,0.02883731
120,4180.685472,1,64218630.75,0.040302336
121,4180.702112,2,64218647.42,0.028789992
122,4180.718784,1,64218664.73,0.039646528
123,4180.735456,2,64218680.77,0.028680414
124,4180.752128,1,64218697.56,0.040467533
125,4180.768768,2,64218714.09,0.029006658
126,4180.78544,1,64218730.83,0.039757766
127,4180.802112,2,64218747.43,0.028525178
128,4180.818784,1,64218764.24,0.040191928
129,4180.835456,2,64218781.43,0.02914114
130,4180.852096,1,64218797.54,0.040201059
131,4180.868768,2,64218814.22,0.028559214
132,4180.88544,1,64218830.86,0.039855722
133,4180.902112,2,64218847.59,0.029084691
134,4180.918784,1,64218864.23,0.040564659
135,4180.935456,2,64218880.86,0.02938105
136,4180.952096,1,64218897.66,0.04038618
137,4180.968768,2,64218914.14,0.028856403
138,4180.98544,1,64218930.83,0.040279092
139,4181.002112,2,64218947.58,0.029151932
140,4181.018784,1,64218964.16,0.040646013
141,4181.035456,2,64218981.4,0.029404293
142,4181.052096,1,64218997.48,0.04050987
143,4181.068768,2,64219014.21,0.028887948
144,4181.08544,1,64219030.92,0.040373728
145,4181.102112,2,64219047.51,0.029176836
146,4181.118784,1,64219064.24,0.040381199
147,4181.135456,2,64219080.87,0.028527668
148,4181.152096,1,64219097.5,0.039524497
149,4181.168768,2,64219114.15,0.028828178
150,4181.18544,1,64219130.89,0.040731517
151,4181.202112,2,64219147.71,0.02938603
152,4181.218752,1,64219164.24,0.04050821
153,4181.235424,2,64219181.08,0.028686225
154,4181.252096,1,64219197.66,0.040289054
155,4181.268768,2,64219214.34,0.029208381
156,4181.28544,1,64219230.92,0.040981388
157,4181.30208,2,64219247.56,0.029472365
158,4181.318752,1,64219264.81,0.04032724
159,4181.335424,2,64219280.96,0.029160233
160,4181.352096,1,64219297.6,0.040917468
161,4181.368768,2,64219314.15,0.02962345
162,4181.38544,1,64219330.87,0.040998821
163,4181.40208,2,64219347.49,0.028787501
164,4181.418752,1,64219364.17,0.039306171
165,4181.435424,2,64219381.03,0.028683734
166,4181.452096,1,64219397.57,0.040307317
167,4181.468768,2,64219414.17,0.02913948
168,4181.48544,1,64219430.94,0.040216002
169,4181.50208,2,64219447.59,0.028743504
170,4181.518752,1,64219464.82,0.039799273
171,4181.535424,2,64219480.84,0.029016619
172,4181.552096,1,64219498,0.040638542
173,4181.568768,2,64219514.18,0.029218343
174,4181.585408,1,64219530.94,0.04026581
175,4181.60208,2,64219547.6,0.029390181
176,4181.618752,1,64219564.26,0.041139945
177,4181.635424,2,64219581.49,0.029771214
178,4181.652064,1,64219597.64,0.040694991
179,4181.668736,2,64219614.21,0.029243247
180,4181.685408,1,64219630.86,0.040671747
181,4181.70208,2,64219647.63,0.029532965
182,4181.718752,1,64219664.55,0.041004632
183,4181.735424,2,64219680.88,0.028995036
184,4181.752064,1,64219697.93,0.040234265
185,4181.768736,2,64219714.18,0.029332072
186,4181.785408,1,64219730.94,0.040894224
187,4181.80208,2,64219747.6,0.0291428
188,4181.818752,1,64219764.28,0.04008484
189,4181.835424,2,64219781.4,0.029226644
190,4181.852064,1,64219797.57,0.041169829
191,4181.868736,2,64219814.31,0.029768724
192,4181.885408,1,64219830.92,0.040704953
193,4181.90208,2,64219847.55,0.029173515
194,4181.918752,1,64219864.28,0.040951503
195,4181.935424,2,64219881.02,0.029909847
196,4181.952064,1,64219897.55,0.041423021
197,4181.968736,2,64219914.27,0.029285584
198,4181.985408,1,64219931.07,0.040255848
199,4182.00208,2,64219947.67,0.028854743
200,4182.01872,1,64219964.43,0.040382029
201,4182.035424,2,64219981.11,0.028977603
202,4182.052064,1,64219997.73,0.040244226
203,4182.068736,2,64220014.35,0.028712789
204,4182.085408,1,64220030.89,0.039851571
205,4182.102048,2,64220047.78,0.029007488
206,4182.11872,1,64220064.38,0.040548057
207,4182.135424,2,64220081.1,0.029245737
208,4182.152064,1,64220097.6,0.04026747
209,4182.168736,2,64220114.38,0.02871611
210,4182.185408,1,64220130.88,0.040120536
211,4182.202048,2,64220147.66,0.028972622
212,4182.21872,1,64220164.66,0.040361276
213,4182.235424,2,64220180.85,0.02902243
214,4182.252064,1,64220197.62,0.039725391
215,4182.268736,2,64220214.34,0.028619814
216,4182.285408,1,64220230.98,0.039907191
217,4182.302048,2,64220248.18,0.028919493
218,4182.31872,1,64220264.23,0.040054955
219,4182.335424,2,64220280.91,0.028393186
220,4182.352064,1,64220297.55,0.039584267
221,4182.368736,2,64220314.16,0.028582458
222,4182.385408,1,64220330.93,0.039956169
223,4182.402048,2,64220347.51,0.028784181
224,4182.41872,1,64220364.83,0.039950358
225,4182.435424,2,64220380.86,0.028102638
226,4182.452032,1,64220397.63,0.039208215
227,4182.468704,2,64220414.17,0.028343378
228,4182.485408,1,64220430.89,0.039331905
229,4182.502048,2,64220447.5,0.028304362
230,4182.51872,1,64220464.22,0.038749979
231,4182.535424,2,64220480.81,0.02769172
232,4182.552032,1,64220497.48,0.038716774
233,4182.568704,2,64220514.16,0.028192293
234,4182.585408,1,64220530.89,0.039556873
235,4182.602048,2,64220547.56,0.028526008
236,4182.61872,1,64220564.28,0.039072073
237,4182.635424,2,64220580.97,0.028094337
238,4182.652032,1,64220597.71,0.039332736
239,4182.668704,2,64220614.26,0.028584118
240,4182.685408,1,64220630.82,0.039748634
241,4182.702048,2,64220647.59,0.028217197
242,4182.718688,1,64220664.2,0.038888612
243,4182.735424,2,64220680.95,0.028267005
244,4182.752032,1,64220697.64,0.039288738
245,4182.768704,2,64220714.83,0.028159918
246,4182.785408,1,64220730.88,0.038919327
247,4182.802048,2,64220747.61,0.028334246
248,4182.818688,1,64220764.22,0.039810065
249,4182.835424,2,64220780.9,0.028634756
250,4182.852032,1,64220797.77,0.039329415
251,4182.868704,2,64220814.32,0.028146635
252,4182.885408,1,64220831.53,0.039281267
253,4182.902016,2,64220847.63,0.028604871
254,4182.918688,1,64220864.28,0.039700486
