FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0,G1,,
0,30019.40276,7,29921663.98,0.097059984,0.178337686,,
1,30034.47988,2,29921682.83,0.122308997,0.229784441,,
2,30034.50451,1,29921687.87,0.094739249,0.178294237,,
3,30034.52998,2,29921692.81,0.120842577,0.229177478,,
4,30034.55556,1,29921697.8,0.093952347,0.178281738,,
5,30034.57981,2,29921702.79,0.119793788,0.228346657,,
6,30034.6054,1,29921707.78,0.093887626,0.179126976,,
7,30034.62993,2,29921713.05,0.119899102,0.228588768,,
8,30034.65544,1,29921713.73,0.093841855,0.179018453,,
9,30034.68012,2,29921713.73,0.120261746,0.228646832,,
10,30034.70531,1,29921713.73,0.093778066,0.179125323,,
11,30034.73089,2,29921732.77,0.120084566,0.226736995,,
12,30034.75535,1,29921737.76,0.094007023,0.178461949,,
13,30034.78092,2,29921742.74,0.119821437,0.226568357,,
14,30034.80556,1,29921747.73,0.094274087,0.178458708,,
15,30034.83144,2,29921752.72,0.119845875,0.227103104,,
16,30034.85573,1,29921757.7,0.094289516,0.178501298,,
17,30034.88141,2,29921763.09,0.119749571,0.228312004,,
18,30034.90582,1,29921763.84,0.094946666,0.1790828,,
19,30034.93167,2,29921763.84,0.12009285,0.228455445,,
20,30034.95608,1,29921763.84,0.094417923,0.179077311,,
21,30034.9812,2,29921782.8,0.119744807,0.227749019,,
22,30035.00698,1,29921787.78,0.094182649,0.179008268,,
23,30035.03145,2,29921792.77,0.119238535,0.227409561,,
24,30035.05629,1,29921797.79,0.094283303,0.17829556,,
25,30035.08172,2,29921804.36,0.11942141,0.227801528,,
26,30035.10734,1,29921807.38,0.094561965,0.18052065,,
27,30035.13201,2,29921812.85,0.119458482,0.228540293,,
28,30035.15667,1,29921813.83,0.094409328,0.180225302,,
29,30035.1819,2,29921813.83,0.119227351,0.228675136,,
30,30035.20772,1,29921813.83,0.095122811,0.181041773,,
31,30035.23206,2,29921832.76,0.119465109,0.229699924,,
32,30035.2571,1,29921837.75,0.095006106,0.182104388,,
33,30035.28292,2,29921842.74,0.119476604,0.230264826,,
34,30035.30725,1,29921847.72,0.094851604,0.181201549,,
35,30035.33303,2,29921852.71,0.119250029,0.230156237,,
36,30035.35807,1,29921857.7,0.094639941,0.181554695,,
37,30035.38257,2,29921863.03,0.118949413,0.229665601,,
38,30035.40801,1,29921863.72,0.09491239,0.180782335,,
39,30035.43282,2,29921863.72,0.11957353,0.229703693,,
40,30035.45796,1,29921863.72,0.095078076,0.181422298,,
41,30035.48342,2,29921882.77,0.119441085,0.229514555,,
42,30035.5083,1,29921887.76,0.095115976,0.180936622,,
43,30035.53324,2,29921892.74,0.119399871,0.229846275,,
44,30035.558,1,29921897.74,0.094922435,0.180032791,,
45,30035.58349,2,29921902.72,0.119235842,0.229564815,,
46,30035.60823,1,29921907.71,0.094818157,0.179398053,,
47,30035.63363,2,29921912.21,0.119164597,0.229930197,,
48,30035.65898,1,29921917.2,0.094436977,0.179780496,,
49,30035.68356,2,29921923.18,0.119435183,0.229671421,,
50,30035.70953,1,29921927.17,0.094209677,0.180110563,,
51,30035.73375,2,29921933.15,0.120196611,0.229522028,,
52,30035.7588,1,29921937.14,0.094396901,0.181319,,
53,30035.78382,2,29921943.13,0.120535541,0.229396707,,
54,30035.80978,1,29921946.53,0.093987037,0.179696574,,
55,30035.83401,2,29921946.53,0.120920967,0.229958567,,
56,30035.85908,1,29921946.53,0.094199632,0.180143232,,
57,30035.88492,2,29921962.15,0.121257515,0.230355362,,
58,30035.90956,1,29921963.48,0.094236186,0.179844975,,
59,30035.93477,2,29921963.48,0.121506561,0.229693707,,
60,30035.95955,1,29921963.48,0.093984345,0.179389852,,
61,30035.98461,2,29921982.78,0.121756539,0.230370175,,
62,30036.00963,1,29921987.74,0.093843098,0.179425696,,
63,30036.03498,2,29921992.76,0.122353007,0.23081723,,
64,30036.06036,1,29921997.72,0.094017482,0.178378291,,
65,30036.08517,2,29922002.71,0.122294603,0.231116678,,
66,30036.11,1,29922007.69,0.093781691,0.179010054,,
67,30036.13528,2,29922013.02,0.122023707,0.23057049,,
68,30036.16046,1,29922013.62,0.093778791,0.17941981,,
69,30036.18529,2,29922013.62,0.12233416,0.231222754,,
70,30036.21037,1,29922013.62,0.094033843,0.180550608,,
71,30036.23633,2,29922032.73,0.121846527,0.2303836,,
72,30036.26111,1,29922037.71,0.094160696,0.181151486,,
73,30036.28553,2,29922042.72,0.121773004,0.229344528,,
74,30036.31105,1,29922047.7,0.093968294,0.181070606,,
75,30036.33627,2,29922052.67,0.121401972,0.227390317,,
76,30036.36077,1,29922057.66,0.093814621,0.181235144,,
77,30036.3861,2,29922063.07,0.121727544,0.226593091,,
78,30036.4114,1,29922063.79,0.09364966,0.181781463,,
79,30036.43615,2,29922063.79,0.121819189,0.225836735,,
80,30036.46111,1,29922063.79,0.093843408,0.180241637,,
81,30036.48627,2,29922082.72,0.122563324,0.224716519,,
82,30036.51224,1,29922087.7,0.093892596,0.180332371,,
83,30036.53636,2,29922092.69,0.122783478,0.224399348,,
84,30036.56156,1,29922097.67,0.093750417,0.18129096,,
85,30036.5873,2,29922102.66,0.122690177,0.224286129,,
86,30036.61206,1,29922107.68,0.093054953,0.181034168,,
87,30036.63686,2,29922113.02,0.122903807,0.225482398,,
88,30036.66248,1,29922113.73,0.093528399,0.179833137,,
89,30036.68692,2,29922113.73,0.123261895,0.226283922,,
90,30036.71219,1,29922113.73,0.093635887,0.178955759,,
