FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,PFC,BLA,Unnamed: 6,Unnamed: 7,PFC-pks,BLA-pks
10656,30301.76945,1,29974852.36,0.087834101,0.178260708,,,,
10658,30301.82066,1,29974862.34,0.088397121,0.179121619,,,,
10660,30301.87022,1,29974872.31,0.088448069,0.178712657,,,,
10662,30301.92012,1,29974882.28,0.087875729,0.177599583,,,,
10664,30301.97056,1,29974892.26,0.0876738,0.177966617,,,,
10666,30302.02049,1,29974902.23,0.087608665,0.177212642,,,,
10668,30302.07044,1,29974912.2,0.087454992,0.177362101,,,,
10670,30302.12155,1,29974922.18,0.087808109,0.177728607,,,,
10672,30302.17082,1,29974932.15,0.087505319,0.178472199,,,,
10674,30302.22094,1,29974942.12,0.087852533,0.17867311,,,,
10676,30302.27192,1,29974952.09,0.088322873,0.179293563,,,,
10678,30302.32129,1,29974962.07,0.089029625,0.179682686,,,,
10680,30302.37152,1,29974972.04,0.089403246,0.179597772,,,,
10682,30302.42158,1,29974982.01,0.088995452,0.179223199,,,,
10684,30302.47167,1,29974991.99,0.089309426,0.179434293,,,,
10686,30302.52207,1,29975001.96,0.089414326,0.179841272,,,,
10688,30302.57253,1,29975011.93,0.089195103,0.18003008,,,,
10690,30302.6231,1,29975021.91,0.089476044,0.180023731,,,,
10692,30302.67236,1,29975031.88,0.089564375,0.179261092,,,,
10694,30302.72251,1,29975041.85,0.089476251,0.17884016,,,,
10696,30302.77288,1,29975051.82,0.089478632,0.178582177,,,,
10698,30302.82298,1,29975061.8,0.089450052,0.179010649,,,,
10700,30302.87377,1,29975071.77,0.089559093,0.17915905,,,,
10702,30302.92352,1,29975081.74,0.08895196,0.179843983,,,,
10704,30302.97345,1,29975091.72,0.088955274,0.17923292,,,,
10706,30303.02417,1,29975101.69,0.089361617,0.17885623,,,,
10708,30303.07379,1,29975111.66,0.089462064,0.178247283,,,,
10710,30303.12402,1,29975121.64,0.088357046,0.178690039,,,,
10712,30303.17475,1,29975131.61,0.088492493,0.178554402,,,,
10714,30303.22461,1,29975141.58,0.088328051,0.177573923,,,,
10716,30303.27489,1,29975151.55,0.088937877,0.17756149,,,,
10718,30303.32495,1,29975161.53,0.088666981,0.17646495,,,,
10720,30303.3753,1,29975171.5,0.088206997,0.176003346,,,,
10722,30303.42551,1,29975181.47,0.087907727,0.176338571,,,,
10724,30303.4753,1,29975191.45,0.088108414,0.17625359,,,,
10726,30303.52558,1,29975201.42,0.088062747,0.176589675,,,,
10728,30303.57544,1,29975211.39,0.08839215,0.176741714,,,,
10730,30303.62566,1,29975221.37,0.088871809,0.176928736,,,,
10732,30303.67647,1,29975231.34,0.088750548,0.178089888,,,,
10734,30303.72598,1,29975241.31,0.088217041,0.177085337,,,,
10736,30303.77688,1,29975251.28,0.088477892,0.176827884,,,,
10738,30303.82644,1,29975261.26,0.088361084,0.17740727,,,,
10740,30303.87726,1,29975271.23,0.088287561,0.176579359,,,,
10742,30303.9271,1,29975281.2,0.088634776,0.17779593,,,,
10744,30303.97686,1,29975291.18,0.08874361,0.178925272,,,,
10746,30304.02778,1,29975301.15,0.088877298,0.177898964,,,,
10748,30304.07738,1,29975311.12,0.08914985,0.179242906,,,,
10750,30304.12745,1,29975321.1,0.089347637,0.17886734,,,,
10752,30304.17833,1,29975331.07,0.08899597,0.178827595,,,,
10754,30304.2278,1,29975341.04,0.089062555,0.179349578,,,,
10756,30304.27822,1,29975351.01,0.089441043,0.178070379,,,,
10758,30304.32901,1,29975360.99,0.089596269,0.179484818,,,,
10760,30304.37844,1,29975370.96,0.089031696,0.178557047,,,,
10762,30304.42858,1,29975380.93,0.089369901,0.177656258,,,,
10764,30304.47877,1,29975390.91,0.089534344,0.178337157,,,,
10766,30304.52905,1,29975400.88,0.089068872,0.177952994,,,,
10768,30304.57905,1,29975410.85,0.0894369,0.177735551,,,,
10770,30304.62968,1,29975420.83,0.089563546,0.177506071,,,,
10772,30304.68001,1,29975430.8,0.089441353,0.17833557,,,,
10774,30304.72946,1,29975440.77,0.089771896,0.178112109,,,,
10776,30304.77997,1,29975450.74,0.089524196,0.177542907,,,,
10778,30304.83041,1,29975460.72,0.089494062,0.177879256,,,,
10780,30304.8805,1,29975470.69,0.089969165,0.17860916,,,,
10782,30304.93023,1,29975480.66,0.088947611,0.176476853,,,,
10784,30304.98063,1,29975490.64,0.089002701,0.177607386,,,,
10786,30305.03109,1,29975500.61,0.089216953,0.1778161,,,,
10788,30305.08087,1,29975510.58,0.089344634,0.177915431,,,,
10790,30305.13094,1,29975520.56,0.089126654,0.178640771,,,,
