fm_fp,ts_fp,LedState,ts,G0,G1,Unnamed: 6,Unnamed: 7,G0-pks,G1-pks,event,event_type
1,30034.47988,2,29921682.83,-0.0916907148241687,-0.1305111470798384,,,False,False,,
3,30034.52998,2,29921692.81,-0.482823969037843,-0.1717704325574589,,,False,False,,
5,30034.57981,2,29921702.79,-0.7618470020294149,-0.2283959772686128,,,False,False,,
7,30034.62993,2,29921713.05,-0.7310540674215805,-0.2113728388454889,,,False,False,,
9,30034.68012,2,29921713.73,-0.6311836732396956,-0.2069832319887418,,,False,False,,
11,30034.73089,2,29921732.77,-0.6762316292771867,-0.3376754027160372,,,False,False,,
13,30034.78092,2,29921742.74,-0.7443552905139325,-0.3488473547921933,,,False,False,,
15,30034.83144,2,29921752.72,-0.7352843674824112,-0.3117372635278726,,,False,False,,
17,30034.88141,2,29921763.09,-0.7586293168377471,-0.2283516872510484,,,False,False,,
19,30034.93167,2,29921763.84,-0.6639710149144088,-0.2181019893078934,,,False,False,,
21,30034.9812,2,29921782.8,-0.754900652710678,-0.2661893900407882,,,False,False,,
23,30035.03145,2,29921792.77,-0.8883095308673314,-0.2890872603136016,,,False,False,,
25,30035.08172,2,29921804.36,-0.8367197490784282,-0.2617783507140161,,,False,False,,
27,30035.13201,2,29921812.85,-0.8242734448963144,-0.2106644303882991,,,False,False,,
29,30035.1819,2,29921813.83,-0.8838288679893149,-0.2010053224165081,,,False,False,,
31,30035.23206,2,29921832.76,-0.8175138331570799,-0.1302582211732248,,,False,False,,
33,30035.28292,2,29921842.74,-0.8119417361764866,-0.0910789372591893,,,False,False,,
35,30035.33303,2,29921852.71,-0.8702821606484091,-0.0981298575993176,,,False,False,,
37,30035.38257,2,29921863.03,-0.94850155536449,-0.1314055295917941,,,False,False,,
39,30035.43282,2,29921863.72,-0.7784792608542771,-0.1283880558583735,,,False,False,,
41,30035.48342,2,29921882.77,-0.8115585403589805,-0.1409683036710452,,,False,False,,
43,30035.53324,2,29921892.74,-0.8201495500443176,-0.1177956224119311,,,False,False,,
45,30035.58349,2,29921902.72,-0.8617128877748274,-0.1367132458922461,,,False,False,,
47,30035.63363,2,29921912.21,-0.8783710474096025,-0.111230080170284,,,False,False,,
49,30035.68356,2,29921923.18,-0.8032674147033095,-0.1285907768152419,,,False,False,,
51,30035.73375,2,29921933.15,-0.5964000172054175,-0.138443228046865,,,False,False,,
53,30035.78382,2,29921943.13,-0.5029547704494919,-0.1466433964545473,,,False,False,,
55,30035.83401,2,29921946.53,-0.3970303373181488,-0.1076738047068708,,,False,False,,
57,30035.88492,2,29921962.15,-0.3042298438774206,-0.0800347716980382,,,False,False,,
59,30035.93477,2,29921963.48,-0.2349218914085095,-0.1250505012331116,,,False,False,,
61,30035.98461,2,29921982.78,-0.165366389557111,-0.0782141668732922,,,False,False,,
63,30036.03498,2,29921992.76,-0.0027983677682276,-0.0471254005201943,,,False,False,,
65,30036.08517,2,29922002.71,-0.0160332277769618,-0.0261688316090504,,,False,False,,
