FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0,G1,Unnamed: 6,Unnamed: 7,G0-pks,G1-pks
2,30034.50451,1,29921687.87,0.094739249,0.178294237,,,,
4,30034.55556,1,29921697.8,0.093952347,0.178281738,,,,
6,30034.6054,1,29921707.78,0.093887626,0.179126976,,,,
8,30034.65544,1,29921713.73,0.093841855,0.179018453,,,,
10,30034.70531,1,29921713.73,0.093778066,0.179125323,,,,
12,30034.75535,1,29921737.76,0.094007023,0.178461949,,,,
14,30034.80556,1,29921747.73,0.094274087,0.178458708,,,,
16,30034.85573,1,29921757.7,0.094289516,0.178501298,,,,
18,30034.90582,1,29921763.84,0.094946666,0.1790828,,,,
20,30034.95608,1,29921763.84,0.094417923,0.179077311,,,,
22,30035.00698,1,29921787.78,0.094182649,0.179008268,,,,
24,30035.05629,1,29921797.79,0.094283303,0.17829556,,,,
26,30035.10734,1,29921807.38,0.094561965,0.18052065,,,,
28,30035.15667,1,29921813.83,0.094409328,0.180225302,,,,
30,30035.20772,1,29921813.83,0.095122811,0.181041773,,,,
32,30035.2571,1,29921837.75,0.095006106,0.182104388,,,,
34,30035.30725,1,29921847.72,0.094851604,0.181201549,,,,
36,30035.35807,1,29921857.7,0.094639941,0.181554695,,,,
38,30035.40801,1,29921863.72,0.09491239,0.180782335,,,,
40,30035.45796,1,29921863.72,0.095078076,0.181422298,,,,
42,30035.5083,1,29921887.76,0.095115976,0.180936622,,,,
44,30035.558,1,29921897.74,0.094922435,0.180032791,,,,
46,30035.60823,1,29921907.71,0.094818157,0.179398053,,,,
48,30035.65898,1,29921917.2,0.094436977,0.179780496,,,,
50,30035.70953,1,29921927.17,0.094209677,0.180110563,,,,
52,30035.7588,1,29921937.14,0.094396901,0.181319,,,,
54,30035.80978,1,29921946.53,0.093987037,0.179696574,,,,
56,30035.85908,1,29921946.53,0.094199632,0.180143232,,,,
58,30035.90956,1,29921963.48,0.094236186,0.179844975,,,,
60,30035.95955,1,29921963.48,0.093984345,0.179389852,,,,
62,30036.00963,1,29921987.74,0.093843098,0.179425696,,,,
64,30036.06036,1,29921997.72,0.094017482,0.178378291,,,,
66,30036.11,1,29922007.69,0.093781691,0.179010054,,,,
68,30036.16046,1,29922013.62,0.093778791,0.17941981,,,,
70,30036.21037,1,29922013.62,0.094033843,0.180550608,,,,
72,30036.26111,1,29922037.71,0.094160696,0.181151486,,,,
74,30036.31105,1,29922047.7,0.093968294,0.181070606,,,,
